Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),7.7,9.1,-15,N,621.4,834.9,-26,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,5.8,8.5,-31,D,671.5,1062.1,-37,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,9.7,10.2,-4,N,732.8,1130.9,-35,D
EAST AND NORTH EAST INDIA,3,NMMT,4.5,10.1,-55,D,640.9,793.7,-19,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,6.9,12,-42,D,1178.5,1150.1,2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,8.8,10.2,-14,N,702.7,678.3,4,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,14.8,9,64,LE,444.6,590.9,-25,D
EAST AND NORTH EAST INDIA,7,BIHAR,3.1,6.2,-50,D,364.3,566.6,-36,D
NORTH WEST INDIA,,(Region Total),6.4,6.9,-7,N,310.3,344.7,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,4.8,7,-31,D,330.5,443.7,-26,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,8.2,8,3,N,349,378.3,-8,N
NORTH WEST INDIA,3,UTTARAKHAND,1.7,14.6,-88,LD,684.7,703.9,-3,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,32.4,4.6,603,LE,224.5,249.8,-10,N
NORTH WEST INDIA,5,PUNJAB,2.5,4.9,-49,D,175.8,266.9,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,7.7,10.1,-23,D,410.4,435.5,-6,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,4.5,6.8,-34,D,365.1,328.8,11,N
NORTH WEST INDIA,8,WEST RAJASTHAN,4.5,3.1,44,E,153.3,176.1,-13,N
NORTH WEST INDIA,9,EAST RAJASTHAN,6.8,8.7,-22,D,294.9,368.6,-20,D
CENTRAL INDIA,,(Region Total),8.9,11.6,-24,D,584.9,585.3,0,N
CENTRAL INDIA,1,ODISHA,22.5,13.2,71,LE,834.5,656.8,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,8.4,13,-35,D,418.2,507.2,-18,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,13.8,14.3,-4,N,463.8,599.2,-23,D
CENTRAL INDIA,4,GUJARAT REGION,0.2,11.5,-98,LD,730.1,570.8,28,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0,5.5,-99,LD,290.8,339.7,-14,N
CENTRAL INDIA,6,KONKAN & GOA,7.8,27.6,-72,LD,1941.7,2006.9,-3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,1.9,7.7,-75,LD,592.1,452.5,31,E
CENTRAL INDIA,8,MARATHWADA,3.1,5.5,-43,D,306.7,352.1,-13,N
CENTRAL INDIA,9,VIDARBHA,4.8,10.8,-55,D,490.5,577.4,-15,N
CENTRAL INDIA,10,CHHATTISGARH,13.3,13.5,-1,N,623.4,664.7,-6,N
SOUTH PENINSULA,,(Region Total),5.6,6.1,-7,N,345.1,418.3,-18,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,19.1,13.4,42,E,978.6,906.4,8,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.5,5.4,-54,D,205.7,311,-34,D
SOUTH PENINSULA,3,TELANGANA,7.9,6.7,19,N,392.9,410.9,-4,N
SOUTH PENINSULA,4,RAYALASEEMA,0.8,2.3,-66,LD,130.7,188.9,-31,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.1,2,-45,D,120.5,137.6,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,25.1,32.8,-24,D,1744.7,2216.5,-21,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.2,3.7,-69,LD,232.9,255,-9,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,8.4,6.1,38,E,323.1,405.6,-20,D
SOUTH PENINSULA,9,KERALA & MAHE,20.5,17.1,20,E,1147.2,1443.5,-21,D
SOUTH PENINSULA,10,LAKSHADWEEP,7.9,5.7,39,E,520.1,680.1,-24,D
COUNTRY AS A WHOLE,,(Country Total),7.3,8.7,-16,N,459.2,518.3,-11,N
