Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),7.9,14.2,-45,D,348,540.2,-36,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,10.7,17.8,-40,D,356.4,727,-51,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,10.1,18.7,-46,D,458.4,773.8,-41,D
EAST AND NORTH EAST INDIA,3,NMMT,8.8,13.6,-35,D,347.5,524.4,-34,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,3.3,19.2,-83,LD,791.6,759.8,4,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,14.3,9.3,54,E,390.7,405,-4,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,4.5,10.6,-58,D,187.3,336.6,-44,D
EAST AND NORTH EAST INDIA,7,BIHAR,2,11.6,-83,LD,192.6,335.6,-43,D
NORTH WEST INDIA,,(Region Total),1.1,7.2,-85,LD,137.5,168.7,-19,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,2.7,10.9,-76,LD,148.8,243.5,-39,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,2,10,-80,LD,192,187.1,3,N
NORTH WEST INDIA,3,UTTARAKHAND,4,13.4,-70,LD,331.1,364.7,-9,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,2.2,5.6,-61,LD,108.1,124.5,-13,N
NORTH WEST INDIA,5,PUNJAB,0.2,5.1,-97,LD,86.4,128.4,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,1,8.5,-88,LD,193.2,211.5,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,0.3,5.4,-94,LD,119.7,152.1,-21,D
NORTH WEST INDIA,8,WEST RAJASTHAN,0,3.8,-100,NR,67.8,80,-15,N
NORTH WEST INDIA,9,EAST RAJASTHAN,0.3,7.4,-96,LD,147.8,167.9,-12,N
CENTRAL INDIA,,(Region Total),3,11,-72,LD,273.2,315,-13,N
CENTRAL INDIA,1,ODISHA,16.7,11.9,40,E,370.9,357.4,4,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,0,9.1,-100,NR,248.7,243.7,2,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,0.1,11.9,-99,LD,234,305,-23,D
CENTRAL INDIA,4,GUJARAT REGION,0.2,10.2,-98,LD,225.3,288.5,-22,D
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.4,8,-95,LD,114.4,177.2,-35,D
CENTRAL INDIA,6,KONKAN & GOA,1,36.8,-97,LD,1232.6,1200,3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,0,6.8,-99,LD,279,264.3,6,N
CENTRAL INDIA,8,MARATHWADA,0,5,-100,NR,130,212.2,-39,D
CENTRAL INDIA,9,VIDARBHA,0,11.9,-100,NR,209.8,319.1,-34,D
CENTRAL INDIA,10,CHHATTISGARH,4.7,13.4,-65,LD,257.6,358.7,-28,D
SOUTH PENINSULA,,(Region Total),0.1,6.9,-98,LD,190,255.3,-26,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,9.5,13.3,-28,D,756,603.8,25,E
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,0.1,6,-98,LD,126.9,180.5,-30,D
SOUTH PENINSULA,3,TELANGANA,0,7.7,-99,LD,157.8,229.1,-31,D
SOUTH PENINSULA,4,RAYALASEEMA,0,3.2,-100,NR,82.1,112,-27,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0,2.8,-100,NR,87.8,80.9,8,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,0,35.6,-99,LD,909.9,1385,-34,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,0,3.8,-100,NR,127.1,156.6,-19,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,0,7,-100,NR,177.8,240.1,-26,D
SOUTH PENINSULA,9,KERALA & MAHE,0.2,19.3,-99,LD,662.7,973,-32,D
SOUTH PENINSULA,10,LAKSHADWEEP,0,9.6,-100,NR,372,484.2,-23,D
COUNTRY AS A WHOLE,,(Country Total),2.6,9.6,-73,LD,227,294.2,-23,D
